full_text,sentiment
@auditams @SelebtwitMobil BYD di Amerika sana udah ngalahin tesla karena emang sebagus itu merk BYD MG juga jadi salah satu opsi terbaik mobil listrik di harganya soalnya harga resmi MG ga beda jauh sama wuling binguo saat itu dengan fitur yang lebih banyak. makanya binguo lgsg turun harga,1
@innovacommunity semua bengkel bisa ngatasin mobil listrik ga? atau harus ke bengkel resminya.,1
Sebenarnya mau marah tapi kasian pacar sendiri nanti emosionalnya terguncang dan ujung-ujungnya nabrak. Gw pernah ada masanya seperti itu pas masih belajar mobil (malah waktu gw awal belajar masuk gang mobil kegores tiang listrik sampe dimarahin ortu dan nangis wkwk).,0
@F_OllaJKT48 rocky km dicat pink aja eh atau gak beli wuling mobil listrik yg kecil itu warna pinkkkk,1
@innovacommunity takut meledak ga sih? ya semua mobil bisa tapi ini resikonya lebih tinggi. electric? jadi gabisa dipake 5or10thn kedepan dong harus selalu update kaya hp? harrier 2010 aja masih mantep sampe sekarang mobil listrik? entahlah.,0
@innovacommunity Kalo tujuan beli mobil listrik cuma buat mengakali ganjil/genap. Naik @Bluebirdgroup setahun paling cuma habis 10-20 jt. Ga perlu beli mobil listrik ga perlu perawatan dll.,0
@innovacommunity Buat apa? Mobil listrik bukan buat jarak jauh ngisi batere lama kalau rusak biaya perbaikannya mahal dan lama. Punya mobil itu untuk mempermudah hidup bukan malah mempersulit.,0
@innovacommunity Bengkel2 umum belum siap maintenance mobil listrik. Segala perbaikan kecil pun harus ke bengkel resmi atau garansi gugur...,0
@innovacommunity Gue akan beli mobil listrik.Tapi bukan di masa ini. Mungkin tunggu sekitar bbrpa tahun ke depan hingga mobil listrik bisa sepraktis dan sereliabel mobil BBM skrg.,1
@trwify Tukang parkir mobil listrik,1
@innovacommunity Kalo mudik bingung chargenya Mungkin gak efektif Atau mungkin fashum buat mobil listrik masih jauh dari cukup,0
@innovacommunity Selain ga punya duit untuk kedepannya mobil listrik kalo rusak mahal benerinnya,0
@innovacommunity Kalau laptop kan baterai hamil isa dilepas baterainya hidup dicolok langsung ke sumber listrik. Kalau mobil listrik tanpa baterai colok wall charger isa jalan g ya,0
@innovacommunity Alasan gue ga beli mobil listrik.. takut kesetrum,0
@sicupuh @iambadung @innovacommunity 2022 di Snoepen Sherlock ga sengaja ketemu kakak dr sobat istri saya. Abis sarapan Snoepen jam 8-9 pagi kok ga balik2 ke JKT.. udah jam 11an saya tanya knp blm balik? Iya lagi ngecas mobil di BIP. Nunggu full jam 1an. Wkwkwkw alright... dr situ saya belum siap dgn mobil listrik.,0
@innovacommunity Ga bisa dicas pakai power bank makanya ga mau beli mobil listrik,0
@innovacommunity Selain nggak punya duit pakai mobil listrik gabisa mode cumi darat,0
@innovacommunity Mobil listrik baterainya bisa hamil g ya,0
@LANGlTKELABU ᅠ ᅠᅠ ᅠ ᅠᅠ Konteks aku lagi lihat katalog mobil listrik warna pink karena yang warna biru inden 3 bulan. ᅠ ᅠ ᅠ ᅠ,1
@innovacommunity Beli mobil diesel/bensin bisa kepake minimal 10 tahun sebelum mulai banyak masalah kalaupun dijual masih dapet lah harga 50% dari harga beli. Kalo mobil listrik bagai hp aja tiap tahun pasti ada teknologi baru dan kalo batere rusak di 10 tahun sama aja beli baru.,0
Ish ish ish...ga abis pikir sama ortu yang ngasih bocah naek motor mobil ato bahkan sepeda listrik!!! Barusan motorku diem depan rumah disruduk sampe jatoh... bocah lho ini..jalan depan rumah itu muat 3 mobil pulak..kan jalan gede ya keitung nya.,0
@innovacommunity Kompor aja masih pakai kompor gas water heater gas masa mobil pakai listrik,0
@innovacommunity Belum nemu ada mobil listrik dengan tiga pedal,0
@Tu94436 @innovacommunity saya itung sejak teknologi tsb jadi mass product.. mobil listrik produksi massal pertama Mitsubishi i-MiEV thn 2009. ya 15 tahun tuh masih awal lah ya di sebuah timeline teknologi.,1
@azizbilly2 @innovacommunity Ga praktis. Mobil pake BBM tinggal isi di pom bayar jalan. Kalo mobil listrik perlu waktu buat ngisi batere nya. Mungkin kalo hidup saya udah kelewat santuy nanti yaa slow living lah istilahnya baru mikir ganti mobil listrik,0
@innovacommunity Mahalll setelah 10 tahun pasti keluar ongkos 60% dari harga beli untuk ganti batre. Anggep 400 juta harga mobil selama 10 tahun total keluar ongkos jadi 600 termasuk harga mobil. Apakah mobil bukan listrik keluar senilai segini selama 10 tahun?,0
@innovacommunity Nanya seluruh electrical engineer ga ada yg mau beli mobil listrik. Apalagi gw yg kaga ngarti ah sudahlah,0
@innovacommunity Sebelah rumahku beli mobil listrik katanya nyesel harga purna jualnya anjlok hehe,0
@ridwanhr Kalo mau serius masalah emisi ya mestinya pemerintah baru @prabowo @gibran_tweet berani membebaskan pajak mobil listrik baik dari sisi produsen importir maupun konsumen. Itu baru mantap,1
kalo w ada di rumah oke dah gw bisa 300-400rb sendiri listrik gw lah bokap w ngecas hape jg kebanyakan di mobil drpd di rumah bgstttt,0
@innovacommunity Saya hampir ga pernah pake mobil di dalem kota kurang efisien paling kalo keluar kota. Nah kalo pake mobil listrik tuh ribet. Ribet nyari duitnya.,0
@innovacommunity Listrik rumah anjlok kalo buat ngecas mobil listrik,0
@innovacommunity 1. Cuma fomo doang nanti aja trend mobil listrik hilang kayak trend es kepal milo.,0
Lantai Atas : - 5 Kamar Tidur + 5 Kamar Mandi Di Dalam - Lantai Bawah : 3 Kamar Tidur + 5 Kamar Mandi Di Dalam &amp; Lantai Marmer Garasi : 2 Mobil Carport : 5 Mobil Legalitas : SHM Listrik : 10.000 Watt Line Telpon : 1,1
@vanillanye @IwangIwang8 @infomalang @Malangraya_info Di era mobil dan motor udah listrik kok masih ada suku atau manusia katrok begini ya,0
Celakanya sepeda motor listrik atau biasa cenderung lebih mudah diakses oleh warga ketimbang mobil. Bisa dilihat balik lagi ke data statistik di atas. Efeknya apa sih? Orang yg sakit karena penyakit berhubungan dengan metabolisme makin muda. Sebab orang makin jarang gerak.,1
@ridwanhr Mobil gak dulu deh pak gub tapi kalo motor boleh deh. Worth it banget kalo motor listrik.,1
@futfunplay @innovacommunity awal? jaman edison juga dah ada mobil listrik kali. cuma perkembangannya kalah sama ICE.,1
@funedito @AhlulQohwah Ehhhh sotoy telaah kata2 gw. Klo elu bisa sih. Tapi klo elu gak faham nih gw jelasin. Bahwa kendaraan yg digunakan rasulullah saat itu adalah kendaraan terbaik. So klo saat itu mobil listrik itu kendaraan listrik itu yg terbaik saat itu. Gw yakin itu yg akan digunakan,1
@dwioktariyadi kesimpulannya... pakai mobil listrik dan tidak itu....,1
@icoooyyyyy @wahyu_cemongg @_Yuudha @sendeljer @aurelmayoriii Lau tau ga kalo aku jadi mobil listrik dia jadi baterainya tau,1
@innovacommunity 1. Sumber listrik masih batu bara bukan clean energy 2. Tempat charging belum banyak kalo ada pun rebutan 3. Tdk bisa dibawa keluar kota ⤴️ 4. Liat dulu 4 thn lagi testimoni pemakai mobil ev yg skrg bakal kyk gmn terutama performa batre 5. Hybrid &amp; PHEV lbh menarik,0
@innovacommunity After sales. CS bakal manis di tahun pertama part2 bakal laku di tahun 2-3. Pasti part udh di kulak sama toko2 variasi terus jual KW nya. Terus ada influencer yang jual jasa service embel2 service mobil listrik. Bertahan 5 tahun pemilik moblis bakal pengen ganti baru kek hp baru,0
@innovacommunity Harga baterai 50%&lt; dari harga mobil. Berkaca produk yg pake baterai cepet dropnya. Spd listrik kalo baterainya kurang gak bisa kenceng tenaganya juga ikut turun. Gtw sih klo mobil.,0
@innovacommunity 1. Beli mobil listrik di Indo masih sebatas gengsi bukan karena pengen ngurangin polusi. 2. Baterai itu limbah B3. Dua poin di atas bikin saya menganggap EV ramah lingkungan itu omong kosong untuk saat ini,0
@innovacommunity Harus lepas stiker dan tangga jadi males mau beli mobil listrik,0
@innovacommunity masih awal era. kayak jaman mobil mesin ice baru awal jg banyak yg nyinyir perlu puluhan tahun buat jadi hal biasa. buat orang beralih dari kereta kuda ke mobil. nah sekarang yg biasa masih masih mobil bbm. jadi ya nanti2 aja kalo 70% di dunia udh pake mobil listrik,1
@innovacommunity Simpel aja gw mh minov.. mobil listrik g ada suara raungan mesinnya.. Yang berbau otomotif bagi gw tuh harus ada raungan mesinnya even saat nonton balap macam F1/MotoGP sekalipun yg dinikmati itu selain balapannya ya suara-suara mesinnya .,0
@innovacommunity Faktor duit aja sih.. kemahalan dan ga ada budget buat beli mobil listrik klo buat commuter emang mobil listrik lbh banyak benefitnya. Lebih irit Bebas GaGe Pajak murah Klo aja mobil hybrid bebas GaGe pasti lebih laku dr mobil listrik,0
@innovacommunity Ato punya mobil bensin 2 3 lg baru beli yg listrik khan kebanyakan begitu yg sekarang punya mobil listrik,1
@J_D3pp masih ada ya beginian pada udah masuk zaman mobil listrik lho,1
@MorphoMenelausX Kan ada mobil hybrid inner city pake listrik ke luar yah pake bbm,1
@SeputarTetangga Luas bangunan rumah -200 m2 -3 kamar tidur -2 kamar mandi -Daya listrik 2.200 watt -PDAM/Air Sumur Row Jalan 3 meter (1 mobil) Mengahadap ke selatan View Sawah Dan pegunungan Alamat: Jalan Dusun Watuagung Watuagung Kec. Prigen Pasuruan Jawa Timur 67157,0
@innovacommunity Sebagai semi pedagang mobil di Kabupaten. Gada minat pembeli untuk mobil listrik second,0
Tadi liat mobil lucukkk di pamer an mall harga promonya 38 jt aja (the first 20 buyers) kalo harga asli katanya 90jt. Lucukkk karena mini gitu ideal buat ciwi2 ada 6 warna pula! Mobil listrik ya butuh sekitar minimal 1300watt/kwh mbuh maap pokok e dibutuhkan minimal itu-,1
@ridwanhr Ngebayangin kalo mobil listrik dibuat narik Grab Car ato Gocar kgak mikir beli bensin yang bikin pndapatan berkurang palingan byar lisrikny aja per bulan agak naik,1
@katadataoto Iya nih makin banyak yang tertarik sama mobil listrik sekarang.,1
6. Pakar energi A : Mobil listrik masih membutuhkan energi batu bara. Pakar energi B : Penggunaan mobil listrik efektif mengurangi tingkat polusi di ibu kota. Data menunjukkan penggunaan mobil listrik masih belum meningkat karena harganya yang mahal,0
@UncDeep Itu kan mobil listrik mau ngapain kesitu?,1
@ridwanhr Bang kalo rumah subsidi boleh pake mobil Listrik gak?,1
@ceasarru @ridwanhr Saat ini beli mobil listrik sangat beresiko. Harga jual hancur tekhnologi masih merepotkan dan nggak ada jaminan berlanjut. Dulu ajah pemerintah punya program bagus BBG nggak jalan. Padahal sdh banyak mobil yg pakai BBG.,0
